GenBank Accession	TAIR7 Locus	Tested in AD	Tested in DB	Vector type 1	Vector type 2
AF332392	AT3G23030	AD	DB	pENTR Sfi (SpecR)	
AF332393	AT1G04240	AD	DB	pENTR Sfi (SpecR)	
AF332395	AT3G23050	AD	DB	pENTR Sfi (SpecR)	
AF332396	AT1G04100	AD	DB	pENTR Sfi (SpecR)	
AF332400	AT3G04730	AD	DB	pENTR Sfi (SpecR)	
AF332402	AT4G29080	AD	DB	pENTR Sfi (SpecR)	
AF332404	AT2G22810	AD	DB	pENTR Sfi (SpecR)	
AF332405	AT4G08040	AD	DB	pENTR Sfi (SpecR)	
AF332408	AT1G07210	AD	DB	pENTR Sfi (SpecR)	
AF332409	AT1G03440	AD		pENTR Sfi (SpecR)	
AF332411	AT1G03230	AD	DB	pENTR Sfi (SpecR)	
AF332413	AT1G03130	AD	DB	pENTR Sfi (SpecR)	
AF332418	AT1G22360	AD	DB	pENTR Sfi (SpecR)	
AF332419	AT1G58270	AD	DB	pENTR Sfi (SpecR)	
AF332420	AT1G07240	AD	DB	pENTR Sfi (SpecR)	
AF332421	AT1G19180	AD	DB	pENTR Sfi (SpecR)	
AF332423	AT1G15670	AD	DB	pENTR Sfi (SpecR)	
AF332424	AT1G15790	AD	DB	pENTR Sfi (SpecR)	
AF332426	AT1G15880	AD	DB	pENTR Sfi (SpecR)	
AF332429	AT1G01540	AD	DB	pENTR Sfi (SpecR)	
AF332430	AT1G13600	AD	DB	pENTR Sfi (SpecR)	
AF332432	AT1G21065	AD	DB	pENTR Sfi (SpecR)	
AF332433	AT1G06080	AD	DB	pENTR Sfi (SpecR)	
AF332434	AT1G06120	AD		pENTR Sfi (SpecR)	
AF332435	AT1G35720	AD	DB	pENTR Sfi (SpecR)	
AF332436	AT1G20190	AD	DB	pENTR Sfi (SpecR)	
AF332443	AT1G01990	AD	DB	pENTR Sfi (SpecR)	
AF332444	AT1G62980	AD	DB	pENTR Sfi (SpecR)	
AF332445	AT1G63000	AD	DB	pENTR Sfi (SpecR)	
AF332446	AT1G07790	AD	DB	pENTR Sfi (SpecR)	
AF332448	AT1G07645	AD	DB	pENTR Sfi (SpecR)	
AF332450	AT1G14360	AD	DB	pENTR Sfi (SpecR)	
AF332455	AT1G15010	AD	DB	pENTR Sfi (SpecR)	
AF332457	AT1G05810	AD	DB	pENTR Sfi (SpecR)	
AF332459	AT1G15950	AD		pENTR Sfi (SpecR)	
AF334713	AT1G15050	AD	DB	pENTR Sfi (SpecR)	
AF334716	AT1G19850	AD	DB	pENTR Sfi (SpecR)	
AF334721	AT1G13690	AD	DB	pENTR Sfi (SpecR)	
AF334722	AT1G21190	AD	DB	pENTR Sfi (SpecR)	
AF334725	AT1G12840	AD	DB	pENTR Sfi (SpecR)	
AF334728	AT1G07750	AD	DB	pENTR Sfi (SpecR)	
AF336915	AT1G52830	AD	DB	pENTR Sfi (SpecR)	
AF336919	AT2G28350	AD	DB	pENTR Sfi (SpecR)	
AF336926	AT1G15370	AD	DB	pENTR Sfi (SpecR)	
AF339681	AT5G27770		DB	pENTR Sfi (SpecR)	
AF339682	AT3G21055		DB	pENTR Sfi (SpecR)	
AF339683	AT1G50320		DB	pENTR Sfi (SpecR)	
AF339685	AT4G25100		DB	pENTR Sfi (SpecR)	
AF339686	AT5G14740		DB	pENTR Sfi (SpecR)	
AF339687	AT2G34430		DB	pENTR Sfi (SpecR)	
AF339689	AT2G04240		DB	pENTR Sfi (SpecR)	
AF339690	AT2G14890		DB	pENTR Sfi (SpecR)	
AF339691	AT5G01600		DB	pENTR Sfi (SpecR)	
AF339693	AT5G06290		DB	pENTR Sfi (SpecR)	
AF339695	AT4G32470		DB	pENTR Sfi (SpecR)	
AF339696	AT1G09560		DB	pENTR Sfi (SpecR)	
AF339698	AT5G67300		DB	pENTR Sfi (SpecR)	
AF339700	AT3G49120		DB	pENTR Sfi (SpecR)	
AF339701	AT4G38580		DB	pENTR Sfi (SpecR)	
AF339702	AT5G02450		DB	pENTR Sfi (SpecR)	
AF339706	AT4G29480	AD	DB	pENTR Sfi (SpecR)	
AF339707	AT1G25550		DB	pENTR Sfi (SpecR)	
AF339708	AT5G64260		DB	pENTR Sfi (SpecR)	
AF339710	AT1G79390		DB	pENTR Sfi (SpecR)	
AF339711	AT2G26740		DB	pENTR Sfi (SpecR)	
AF339712	AT5G02380		DB	pENTR Sfi (SpecR)	
AF339713	AT2G21280		DB	pENTR Sfi (SpecR)	
AF339714	AT1G75510		DB	pENTR Sfi (SpecR)	
AF339715	AT2G20820	AD	DB	pENTR Sfi (SpecR)	
AF339717	AT4G22260		DB	pENTR Sfi (SpecR)	
AF339720	AT1G49410		DB	pENTR Sfi (SpecR)	
AF339721	AT3G53990	AD	DB	pENTR Sfi (SpecR)	
AF339722	AT1G76180		DB	pENTR Sfi (SpecR)	
AF339725	AT4G38460	AD	DB	pENTR Sfi (SpecR)	
AF339726	AT2G02050	AD	DB	pENTR Sfi (SpecR)	
AF339728	AT3G58680		DB	pENTR Sfi (SpecR)	
AF339729	AT2G21290		DB	pENTR Sfi (SpecR)	
AF339730	AT2G15890		DB	pENTR Sfi (SpecR)	
AF344314	AT1G17990	AD	DB	pENTR Sfi (SpecR)	
AF344314	AT1G18020	AD	DB	pENTR Sfi (SpecR)	
AF348574	AT1G01620	AD	DB	pENTR Sfi (SpecR)	
AF349515	AT3G14990		DB	pENTR Sfi (SpecR)	
AF349516	AT2G47940		DB	pENTR Sfi (SpecR)	
AF349517	AT1G51660		DB	pENTR Sfi (SpecR)	
AF349520	AT3G18240		DB	pENTR Sfi (SpecR)	
AF349521	AT2G26800		DB	pENTR Sfi (SpecR)	
AF349522	AT3G48000		DB	pENTR Sfi (SpecR)	
AF349523	AT3G13445		DB	pENTR Sfi (SpecR)	
AF349524	AT4G36110	AD	DB	pENTR Sfi (SpecR)	
AF349525	AT1G23290		DB	pENTR Sfi (SpecR)	
AF349526	AT1G69620		DB	pENTR Sfi (SpecR)	
AF349528	AT3G43980		DB	pENTR Sfi (SpecR)	
AF349530	AT2G33150		DB	pENTR Sfi (SpecR)	
AF361101	AT1G43170		DB	pENTR Sfi (SpecR)	
AF446865	AT1G20300	AD	DB	pENTR Sfi (SpecR)	
AF446866	AT3G07540	AD	DB	pENTR Sfi (SpecR)	
AF446869	AT1G54320	AD	DB	pENTR Sfi (SpecR)	
AF446870	AT3G14620	AD	DB	pENTR Sfi (SpecR)	
AF446872	AT5G50150	AD	DB	pENTR Sfi (SpecR)	
AF446873	AT5G67480	AD	DB	pENTR Sfi (SpecR)	
AF446874	AT1G12010	AD	DB	pENTR Sfi (SpecR)	
AF446875	AT5G05220	AD	DB	pENTR Sfi (SpecR)	
AF446876	AT5G28770	AD	DB	pENTR Sfi (SpecR)	
AF446877	AT3G52740	AD	DB	pENTR Sfi (SpecR)	
AF446879	AT1G53460	AD	DB	pENTR Sfi (SpecR)	
AF446880	AT3G18740	AD	DB	pENTR Sfi (SpecR)	
AF446882	AT2G32080	AD	DB	pENTR Sfi (SpecR)	
AF446883	AT5G14950	AD	DB	pENTR Sfi (SpecR)	
AF446887	AT1G22990	AD	DB	pENTR Sfi (SpecR)	
AF446888	AT5G50600	AD	DB	pENTR Sfi (SpecR)	
AF446888	AT5G50700	AD	DB	pENTR Sfi (SpecR)	
AF446892	AT3G19710	AD	DB	pENTR Sfi (SpecR)	
AF446893	AT5G62520	AD	DB	pENTR Sfi (SpecR)	
AF446894	AT4G27170		DB	pENTR Sfi (SpecR)	
AY039990	AT5G64960		DB	pENTR Sfi (SpecR)	
AY039991	AT5G02480		DB	pENTR Sfi (SpecR)	
AY039992	AT1G03740	AD	DB	pENTR Sfi (SpecR)	
AY039993	AT1G54380	AD	DB	pENTR Sfi (SpecR)	
AY039994	AT4G34340	AD	DB	pENTR Sfi (SpecR)	
AY039999	AT5G03170	AD	DB	pENTR Sfi (SpecR)	
AY040000	AT1G06640		DB	pENTR Sfi (SpecR)	
AY040002	AT1G34150	AD	DB	pENTR Sfi (SpecR)	
AY040005	AT1G62180	AD	DB	pENTR Sfi (SpecR)	
AY040028	AT1G45145	AD	DB	pENTR Sfi (SpecR)	
AY040030	AT5G64470		DB	pENTR Sfi (SpecR)	
AY040031	AT4G01370		DB	pENTR Sfi (SpecR)	
AY040033	AT1G43710	AD	DB	pENTR Sfi (SpecR)	
AY040034	AT1G04590	AD	DB	pENTR Sfi (SpecR)	
AY040035	AT5G52560	AD	DB	pENTR Sfi (SpecR)	
AY040036	AT1G01230	AD	DB	pENTR Sfi (SpecR)	
AY040037	AT5G17410	AD	DB	pENTR Sfi (SpecR)	
AY040040	AT5G66850		DB	pENTR Sfi (SpecR)	
AY040042	AT5G17310		DB	pENTR Sfi (SpecR)	
AY040048	AT5G15230	AD	DB	pENTR Sfi (SpecR)	
AY040049	AT4G38680	AD	DB	pENTR Sfi (SpecR)	
AY040050	AT5G64813	AD	DB	pENTR Sfi (SpecR)	
AY040052	AT3G13940	AD	DB	pENTR Sfi (SpecR)	
AY040053	AT5G19620	AD	DB	pENTR Sfi (SpecR)	
AY040054	AT3G08510	AD	DB	pENTR Sfi (SpecR)	
AY040055	AT5G56630	AD	DB	pENTR Sfi (SpecR)	
AY040056	AT5G20040	AD	DB	pENTR Sfi (SpecR)	
AY040057	AT1G19010		DB	pENTR Sfi (SpecR)	
AY040058	AT3G22104		DB	pENTR Sfi (SpecR)	
AY040060	AT5G25060		DB	pENTR Sfi (SpecR)	
AY040061	AT2G20580	AD	DB	pENTR Sfi (SpecR)	
AY040062	AT3G45780	AD	DB	pENTR Sfi (SpecR)	
AY040065	AT1G48860	AD	DB	pENTR Sfi (SpecR)	
AY040070	AT5G65890	AD	DB	pENTR Sfi (SpecR)	
AY040071	AT5G43320		DB	pENTR Sfi (SpecR)	
AY040072	AT2G37410		DB	pENTR Sfi (SpecR)	
AY040073	AT5G45890		DB	pENTR Sfi (SpecR)	
AY040074	AT5G12250		DB	pENTR Sfi (SpecR)	
AY040076	AT3G54190	AD	DB	pENTR Sfi (SpecR)	
AY040079	AT3G07680	AD	DB	pENTR Sfi (SpecR)	
AY040080	AT3G26200	AD	DB	pENTR Sfi (SpecR)	
AY050464	AT5G37055	AD	DB	pENTR Sfi (SpecR)	
AY050466	AT5G60590	AD	DB	pENTR Sfi (SpecR)	
AY050467	AT5G17300	AD	DB	pENTR Sfi (SpecR)	
AY050468	AT3G56130	AD	DB	pENTR Sfi (SpecR)	
AY050469	AT5G25080	AD	DB	pENTR Sfi (SpecR)	
AY050471	AT4G25050	AD	DB	pENTR Sfi (SpecR)	
AY050473	AT4G27090	AD	DB	pENTR Sfi (SpecR)	
AY050474	AT2G45640	AD	DB	pENTR Sfi (SpecR)	
AY050475	AT5G02770	AD	DB	pENTR Sfi (SpecR)	
AY050477	AT5G08180	AD	DB	pENTR Sfi (SpecR)	
AY050478	AT5G57870	AD	DB	pENTR Sfi (SpecR)	
AY050480	AT3G17020		DB	pENTR Sfi (SpecR)	
AY050481	AT5G22580	AD	DB	pENTR Sfi (SpecR)	
AY051011	AT1G55460		DB	pENTR Sfi (SpecR)	
AY051015	AT1G69490	AD	DB	pENTR Sfi (SpecR)	
AY051016	AT1G75230		DB	pENTR Sfi (SpecR)	
AY051017	AT3G48680	AD	DB	pENTR Sfi (SpecR)	
AY051018	AT1G24180	AD	DB	pENTR Sfi (SpecR)	
AY051019	AT5G16120	AD	DB	pENTR Sfi (SpecR)	
AY051020	AT1G03140		DB	pENTR Sfi (SpecR)	
AY051022	AT2G31410	AD	DB	pENTR Sfi (SpecR)	
AY051024	AT1G70190		DB	pENTR Sfi (SpecR)	
AY051025	AT5G38410		DB	pENTR Sfi (SpecR)	
AY051026	AT2G45770		DB	pENTR Sfi (SpecR)	
AY051027	AT5G03860		DB	pENTR Sfi (SpecR)	
AY051028	AT5G67370		DB	pENTR Sfi (SpecR)	
AY051029	AT1G03350		DB	pENTR Sfi (SpecR)	
AY051031	AT1G66180	AD	DB	pENTR Sfi (SpecR)	
AY051032	AT1G64950	AD	DB	pENTR Sfi (SpecR)	
AY051035	AT5G08540	AD	DB	pENTR Sfi (SpecR)	
AY051037	AT1G15200		DB	pENTR Sfi (SpecR)	
AY051038	AT1G10070		DB	pENTR Sfi (SpecR)	
AY051039	AT1G30970		DB	pENTR Sfi (SpecR)	
AY051048	AT4G26590	AD	DB	pENTR Sfi (SpecR)	
AY051049	AT2G39710	AD	DB	pENTR Sfi (SpecR)	
AY051050	AT4G31330		DB	pENTR Sfi (SpecR)	
AY051051	AT4G30960		DB	pENTR Sfi (SpecR)	
AY051052	AT4G33500		DB	pENTR Sfi (SpecR)	
AY051053	AT1G06390	AD	DB	pENTR Sfi (SpecR)	
AY051056	AT3G61140	AD	DB	pENTR Sfi (SpecR)	
AY051057	AT2G29720	AD	DB	pENTR Sfi (SpecR)	
AY051060	AT2G22990		DB	pENTR Sfi (SpecR)	
AY051069	AT1G55270		DB	pENTR Sfi (SpecR)	
